ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0033083	GO:0033083	regulation of immature T cell proliferation	11	-0.408708332568051	-1.29754696102379	0.161473087818697	0.514379946623549	0.457512436896816	3798	tags=64%, list=25%, signal=48%	IL1B/CLEC4G/RIPK2/IHH/IL1A/TMEM131L/TNFRSF9
GO:0033084	GO:0033084	regulation of immature T cell proliferation in thymus	11	-0.408708332568051	-1.29754696102379	0.161473087818697	0.514379946623549	0.457512436896816	3798	tags=64%, list=25%, signal=48%	IL1B/CLEC4G/RIPK2/IHH/IL1A/TMEM131L/TNFRSF9
GO:0035825	GO:0035825	homologous recombination	45	0.302399879808604	1.27448104190712	0.161507402422611	0.514379946623549	0.457512436896816	4805	tags=42%, list=31%, signal=29%	CENPS/SYCE3/PSMC3IP/RAD51AP1/SLX4/RAD51D/RBBP8/UBR2/KLHDC3/BRCA1/RAD50/CENPX/MND1/TOPBP1/MLH3/RAD51C/HDAC10/RAD21/CCNB1IP1
GO:0031342	GO:0031342	negative regulation of cell killing	25	0.350081007430546	1.28455085650879	0.161807580174927	0.51504300250109	0.458102188329242	2367	tags=40%, list=15%, signal=34%	HAVCR2/CEACAM1/KLRC1/PTPRC/FCGR2B/ARRB2/CR1/GFER/IL7R/LGALS9
GO:0021871	GO:0021871	forebrain regionalization	16	-0.355473276191361	-1.28677312352425	0.162241887905605	0.515790685814868	0.458767211173074	2510	tags=38%, list=16%, signal=31%	DMRTA2/PAX6/LHX1/FGF8/PGAP1/BMP2
GO:0055023	GO:0055023	positive regulation of cardiac muscle tissue growth	18	-0.335760799456719	-1.27736064187088	0.16231884057971	0.515790685814868	0.458767211173074	3696	tags=39%, list=24%, signal=30%	ZFPM2/WNT2/TBX2/PIM1/GATA6/ERBB4/IGF1
GO:0006670	GO:0006670	sphingosine metabolic process	18	-0.335027577027855	-1.27457118737266	0.16231884057971	0.515790685814868	0.458767211173074	990	tags=22%, list=6%, signal=21%	ASAH2/ABCA2/ACER2/SPTSSB
GO:1902475	GO:1902475	L-alpha-amino acid transmembrane transport	51	0.293512035388472	1.27219807115771	0.163292847503374	0.518591408491997	0.461258298676575	3834	tags=31%, list=25%, signal=24%	SLC47A1/SLC1A1/SLC6A20/CLTRN/CLN3/UCP2/SLC38A10/SLC6A9/SLC38A1/SLC7A7/SLC1A3/SLC1A4/ARL6IP1/SLC43A1/SLC7A10/SLC7A2
GO:0071294	GO:0071294	cellular response to zinc ion	13	-0.377548899157857	-1.2970444429666	0.163793103448276	0.519061087823517	0.461676052395269	1358	tags=38%, list=9%, signal=35%	MT1E/MT1A/MT1M/MT1X/MT2A
GO:0005513	GO:0005513	detection of calcium ion	13	-0.377400003245061	-1.29653292083872	0.163793103448276	0.519061087823517	0.461676052395269	195	tags=38%, list=1%, signal=38%	CASQ2/RYR2/CASR/KCNIP2/KCNMB2
GO:0019646	GO:0019646	aerobic electron transport chain	59	0.286407853080881	1.2628661267469	0.163734776725304	0.519061087823517	0.461676052395269	8248	tags=69%, list=54%, signal=32%	ISCU/UQCRC2/SDHC/NDUFS2/PINK1/NDUFS8/CYC1/COQ9/UQCC3/NDUFAF1/NDUFA10/NDUFAB1/NDUFS3/SDHA/UQCRHL/NDUFV1/NDUFB1/NDUFA5/NDUFA8/SDHB/NDUFB5/NDUFB9/COX7A2L/PARK7/UQCRFS1/NDUFB3/NDUFA2/NDUFV3/NDUFA9/SLC25A51/COX7B/NDUFA1/SDHAF2/NDUFB2/NDUFB10/NDUFA3/AFG1L/UQCRC1/COX5B/NDUFS1/COX7A2
GO:0031346	GO:0031346	positive regulation of cell projection organization	282	0.207312762944439	1.16836989294321	0.163811563169165	0.519061087823517	0.461676052395269	3321	tags=25%, list=22%, signal=20%	CRABP2/BMP5/KIT/TOX/CCR7/RGMA/AMIGO1/ALKAL1/TUBB2B/DISC1/PLEK2/FES/CDKL5/CEP120/ABL1/BBS4/DNM3/TGFB3/TMEM106B/STAU2/PLXNA4/ATP8A2/CNTN1/P3H1/FUZ/CDKL3/CDC42EP3/NRP1/ZFYVE27/CORO1B/FZD1/DPYSL3/ENC1/CROCC/PLXNC1/TWF1/KAT2A/RAC2/PROM2/PALM/DVL1/SRC/ARHGEF7/RELN/ATP7A/FYN/DOCK11/DVL2/MTOR/KATNB1/SNX3/EPHA4/EPHB2/WNT3/ZMYND8/RETREG3/TRPV2/ATMIN/FSCN1/ITPKA/EPS8L1/PLA2G3/WASHC5/CUL7/CCP110/EPS8/PLXNA1/ITGA3/P2RX7/FLNA
GO:0006312	GO:0006312	mitotic recombination	21	0.371769483468323	1.3016972474369	0.164444444444444	0.519303127154227	0.461891332957323	5568	tags=57%, list=36%, signal=37%	XRCC1/BRCA2/RAD51D/MSH2/RAD52/RAD50/XRCC3/SMC6/RAD51C/NSMCE2/RAD54B/TERF2
GO:0021694	GO:0021694	cerebellar Purkinje cell layer formation	10	0.46047842120558	1.29868013716835	0.16403785488959	0.519303127154227	0.461891332957323	2143	tags=30%, list=14%, signal=26%	FAIM2/TTLL1/ATP7A
GO:0090042	GO:0090042	tubulin deacetylation	16	0.400574950004791	1.29355352051956	0.164404223227753	0.519303127154227	0.461891332957323	8869	tags=94%, list=58%, signal=40%	KAT2A/FLNA/MBIP/BEX4/SGF29/TADA3/KAT14/HDAC6/PRKAA1/SIRT2/FRY/PRKAA2/NEK3/DR1/WDR5
GO:0009147	GO:0009147	pyrimidine nucleoside triphosphate metabolic process	18	0.384629546703563	1.28025639027791	0.164383561643836	0.519303127154227	0.461891332957323	4170	tags=56%, list=27%, signal=41%	DTYMK/DCTPP1/NME5/CTPS1/NME3/UCK1/NME4/CTPS2/UCKL1/TBPL1
GO:0006623	GO:0006623	protein targeting to vacuole	38	0.31872703108339	1.27696548760831	0.164073550212164	0.519303127154227	0.461891332957323	7127	tags=71%, list=46%, signal=38%	VPS37C/VPS37D/AP4M1/SNX16/NAGPA/VPS54/BECN1/VPS53/AP3M1/GCC2/LAMP2/RAB7A/VPS4A/SCARB2/LAPTM5/MON1B/PIK3R4/VPS41/SQSTM1/ZFYVE16/VPS8/AP3D1/ATG14/SORL1/GNPTG/VPS37A/PXK
GO:0071383	GO:0071383	cellular response to steroid hormone stimulus	150	0.232187302932484	1.2158163009725	0.164367816091954	0.519303127154227	0.461891332957323	4839	tags=35%, list=31%, signal=24%	SCGB2A1/HMGCS2/PGR/ESR1/CYP7B1/PPARGC1B/SRD5A1/STC1/AIFM1/ACE/AXIN2/PAQR7/PDE3A/FECH/DNAAF4/SKP2/EGLN2/BRCA1/SRC/NCOR1/RXRB/TRIM68/CARM1/CASP9/VPS11/KDM3A/VPS54/GJB2/PAGR1/RNF14/TFAP4/DDRGK1/NR1D1/UFSP2/LATS1/DDIT4/TAF7/RNF6/PARP1/TADA3/HSPA1A/PGRMC2/LMO3/HDAC1/CALR/UFL1/TRIP4/DAB2/GPER1/MED1/PIAS2/ZDHHC7
GO:0006098	GO:0006098	pentose-phosphate shunt	17	0.397849429814369	1.30028436857822	0.164634146341463	0.519392237064651	0.461970591280936	6582	tags=71%, list=43%, signal=40%	MLST8/G6PD/MTOR/RPE/PGLS/ALDOB/PGAM1/TALDO1/PGD/TP53/DERA/TKT
GO:1901741	GO:1901741	positive regulation of myoblast fusion	12	-0.391585639539312	-1.29740585316135	0.164739884393064	0.519392237064651	0.461970591280936	969	tags=25%, list=6%, signal=23%	RIPOR2/SCGB3A1/TNFSF14
GO:0019755	GO:0019755	one-carbon compound transport	48	-0.244839757849931	-1.22786952337957	0.164750957854406	0.519392237064651	0.461970591280936	4006	tags=48%, list=26%, signal=36%	CA2/SLC26A2/AQP10/SLC4A9/SLC26A8/SLC4A1/UPK3A/SLC4A10/RHCG/SLC14A2/RHAG/SLC39A12/SLC39A5/AQP8/SLC4A7/AQP6/SLC4A5/SLC4A4/HBG2/CYB5R2/SLC26A4/CA4/AQP9
GO:0033028	GO:0033028	myeloid cell apoptotic process	32	0.327191108920986	1.25647070774625	0.165697674418605	0.522082880737067	0.464363769614323	3776	tags=41%, list=25%, signal=31%	APOH/CLEC5A/CDKN2A/THRA/CTSL/IRF7/STAT5B/ITPKB/ST6GAL1/MAEA/BAP1/NF1/LIPA
GO:0002690	GO:0002690	positive regulation of leukocyte chemotaxis	81	-0.201297641729846	-1.17420880888887	0.165876777251185	0.522353248497966	0.464604246744039	1539	tags=19%, list=10%, signal=17%	F7/CX3CR1/VEGFB/OXSR1/RARRES2/CCL4/RIPOR2/PTN/IL12A/TNFSF14/CCL21/CXCL8/XCL2/IL6/XCL1
GO:0009168	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	15	0.400312743217778	1.28292825018827	0.166167664670659	0.522493012838811	0.464728559374402	2498	tags=33%, list=16%, signal=28%	PPAT/ATIC/ADA/PFAS/AMPD3
GO:0006622	GO:0006622	protein targeting to lysosome	25	0.349350458961161	1.28187025789832	0.166180758017493	0.522493012838811	0.464728559374402	7127	tags=76%, list=46%, signal=41%	AP4M1/SNX16/NAGPA/VPS54/BECN1/VPS53/AP3M1/GCC2/LAMP2/RAB7A/VPS4A/SCARB2/LAPTM5/PIK3R4/ZFYVE16/ATG14/SORL1/GNPTG/PXK
GO:0009116	GO:0009116	nucleoside metabolic process	41	0.308021160220784	1.25810102835547	0.166201117318436	0.522493012838811	0.464728559374402	4510	tags=41%, list=29%, signal=29%	CDA/DTYMK/TK1/OARD1/NT5E/APOBEC3G/ADA/ICMT/NME5/PRTFDC1/TYMP/APOBEC3F/DHFR2/NME4/UCKL1/MTAP/APOBEC3H
GO:0060391	GO:0060391	positive regulation of SMAD protein signal transduction	19	-0.333710191633372	-1.29345277449459	0.167647058823529	0.523016601078316	0.465194262077159	214	tags=16%, list=1%, signal=16%	BMP6/INHBA/BMP2
GO:0009135	GO:0009135	purine nucleoside diphosphate metabolic process	17	0.395527813508863	1.29269667040483	0.167682926829268	0.523016601078316	0.465194262077159	6377	tags=71%, list=41%, signal=41%	ENTPD2/MPP1/NUDT18/NT5E/BAD/TJP2/CARD11/MAGI3/AK1/AK2/AK3/LRGUK
GO:0009179	GO:0009179	purine ribonucleoside diphosphate metabolic process	17	0.395527813508863	1.29269667040483	0.167682926829268	0.523016601078316	0.465194262077159	6377	tags=71%, list=41%, signal=41%	ENTPD2/MPP1/NUDT18/NT5E/BAD/TJP2/CARD11/MAGI3/AK1/AK2/AK3/LRGUK
GO:1903429	GO:1903429	regulation of cell maturation	15	-0.362555991484691	-1.28707598810054	0.167664670658683	0.523016601078316	0.465194262077159	1056	tags=27%, list=7%, signal=25%	NPR2/BCL2/EDNRB/PAEP
GO:2000786	GO:2000786	positive regulation of autophagosome assembly	15	0.399973179136693	1.28184001015656	0.167664670658683	0.523016601078316	0.465194262077159	7205	tags=73%, list=47%, signal=39%	ATG2A/PIP4K2C/RALB/BECN1/SNX4/RAB3GAP2/MOAP1/RAB3GAP1/PIP4K2B/ULK1/SNX7
GO:0006855	GO:0006855	xenobiotic transmembrane transport	14	0.411703861298359	1.28157947314716	0.166919575113809	0.523016601078316	0.465194262077159	3617	tags=43%, list=24%, signal=33%	SLC47A1/SLC29A1/ABCC3/ABCC4/SLC29A2/ATRAID
GO:0071285	GO:0071285	cellular response to lithium ion	12	0.426330613260626	1.28074272678594	0.167682926829268	0.523016601078316	0.465194262077159	4598	tags=58%, list=30%, signal=41%	ADCY7/NFATC4/SLC13A2/CDKN1B/SHH/CALR/CEBPA
GO:0050775	GO:0050775	positive regulation of dendrite morphogenesis	28	0.34269259873839	1.27762924653317	0.167638483965015	0.523016601078316	0.465194262077159	5896	tags=57%, list=38%, signal=35%	CDKL5/STAU2/CDKL3/RELN/EPHA4/EPHB2/ITPKA/CUL7/LRP8/ANKRD27/TIAM1/PARP6/EEF2K/OBSL1/HDAC6/TBC1D24
GO:0061001	GO:0061001	regulation of dendritic spine morphogenesis	35	0.317953429705255	1.26029855907788	0.1671388101983	0.523016601078316	0.465194262077159	3009	tags=31%, list=20%, signal=25%	NGEF/DTNBP1/DNM3/STAU2/SRCIN1/TANC2/RELN/EPHA4/EPHB2/CDK5R1/ITPKA
GO:0046902	GO:0046902	regulation of mitochondrial membrane permeability	47	0.295667635782451	1.25512637003291	0.167794316644114	0.523016601078316	0.465194262077159	5474	tags=51%, list=36%, signal=33%	MUL1/RTL10/TMEM102/ACAA2/FZD9/BNIP3/RHOT2/BAK1/ZNF205/NAIF1/BNIP3L/BAD/HIP1R/TMEM14A/SLC25A5/ARHGAP11B/HSPA1A/CNP/SPG7/GCLC/BCL2L1/THEM4/MOAP1/STPG1
GO:0090102	GO:0090102	cochlea development	36	0.316739331677004	1.25451586034706	0.167862266857963	0.523016601078316	0.465194262077159	2496	tags=31%, list=16%, signal=26%	CECR2/HPN/SLC26A5/RPGRIP1L/HEY2/FZD2/DVL1/DVL2/KCNQ1/EPHA4/MCM2
GO:0014829	GO:0014829	vascular associated smooth muscle contraction	23	-0.303977524331031	-1.2422485672314	0.1671826625387	0.523016601078316	0.465194262077159	5197	tags=52%, list=34%, signal=35%	SCNN1B/EDNRA/DOCK5/BBS2/DOCK4/CHRM3/ADRA2B/HTR2A/EDN3/GRIP2/P2RX1/EDNRB
GO:0007030	GO:0007030	Golgi organization	121	0.241767857823327	1.22733612866239	0.167064439140811	0.523016601078316	0.465194262077159	6125	tags=50%, list=40%, signal=30%	TMED6/TJAP1/GOLPH3L/PLK1/KIFC3/BET1/ARHGEF7/TMED9/COG7/STX17/COG2/FHDC1/FAM174B/COG6/NSFL1C/BLZF1/TMED1/ZNF501/GCC2/MAPK3/SEC22B/COG8/VCPIP1/CUL7/DYM/HIKESHI/COG4/NPLOC4/GOLGA5/SURF4/BAG5/MYO18A/ARMH3/TMED2/PI4K2B/GAK/RBSN/RAB8A/SEC16A/STX18/TRAPPC8/VPS13B/VAMP4/GORASP2/CORO7/OBSL1/MAP2K1/USO1/TBC1D20/SEC16B/RAB2B/TMED10/VPS51/TRAPPC12/PDCD10/YIPF5/RAB6B/RAB2A/HTT/GOLPH3
GO:0030041	GO:0030041	actin filament polymerization	122	0.239893616364864	1.22183587401116	0.166863905325444	0.523016601078316	0.465194262077159	3899	tags=33%, list=25%, signal=25%	HCK/DAAM2/SCIN/CCR7/TMOD1/MLST8/PFN4/MKKS/BIN1/ABL1/BBS4/MEGF9/CDC42EP3/SSH3/TWF1/MSRB1/ALOX15/MTOR/FCHSD2/PSTPIP1/ADD2/CTTN/FCHSD1/WAS/FHDC1/SPIRE2/PAK3/NCK2/CAPG/VASP/WASHC5/ARPC5/EPS8/INF2/SNX9/LATS1/AIF1/HIP1R/SPIRE1/BAG4
GO:0032635	GO:0032635	interleukin-6 production	115	-0.181963780249819	-1.15626048241442	0.167664670658683	0.523016601078316	0.465194262077159	1286	tags=16%, list=8%, signal=14%	SCIMP/IL1A/ZC3H12A/UCN/ELF4/CHRNA7/IL17RC/TLR8/POU2F2/TNFAIP3/C1QTNF4/EREG/LILRA5/CX3CL1/PLCG2/NLRX1/IL6/PTAFR
GO:0032675	GO:0032675	regulation of interleukin-6 production	115	-0.181963780249819	-1.15626048241442	0.167664670658683	0.523016601078316	0.465194262077159	1286	tags=16%, list=8%, signal=14%	SCIMP/IL1A/ZC3H12A/UCN/ELF4/CHRNA7/IL17RC/TLR8/POU2F2/TNFAIP3/C1QTNF4/EREG/LILRA5/CX3CL1/PLCG2/NLRX1/IL6/PTAFR
GO:0060688	GO:0060688	regulation of morphogenesis of a branching structure	44	0.306121981241043	1.27955598419455	0.168021680216802	0.523222128773012	0.465377067563779	4179	tags=39%, list=27%, signal=28%	FKBPL/WNT2B/ESR1/ABL1/AGT/HOXB7/HGF/SMO/FGF7/SIX1/BCL11A/NTN4/LGR4/SOX8/RTN4/SHH/MAGED1
GO:0051547	GO:0051547	regulation of keratinocyte migration	13	0.417468501612135	1.28496293916343	0.168195718654434	0.523472945384201	0.465600155030063	2836	tags=38%, list=18%, signal=31%	MMP9/IQSEC1/ADAM9/MTOR/FGF7
GO:0044458	GO:0044458	motile cilium assembly	55	0.289264673749376	1.26993197135469	0.168674698795181	0.524089699530642	0.4661487236404	5176	tags=44%, list=34%, signal=29%	CFAP221/NOTO/PFN4/CFAP65/MCIDAS/DNAAF3/TTLL1/MKS1/CCDC40/SPATA6/ENKD1/IQCG/ATMIN/BBOF1/PLA2G3/E2F4/VDAC3/IFT57/IFT81/CC2D2A/ARMC2/FOXJ1/MEIG1/BBS5
GO:0050829	GO:0050829	defense response to Gram-negative bacterium	48	-0.243080324158128	-1.21904597679733	0.168582375478927	0.524089699530642	0.4661487236404	4501	tags=44%, list=29%, signal=31%	TREM2/OPTN/SLC11A1/SELP/MPEG1/IL22RA1/IL23R/IRGM/SSC5D/IL17F/DEFA4/RNASE3/RNASE7/LBP/IL17A/NFKBIZ/RARRES2/CD160/CAMP/DEFB1/IL6
GO:0016485	GO:0016485	protein processing	194	0.219733780477639	1.18796612270774	0.168526785714286	0.524089699530642	0.4661487236404	4268	tags=34%, list=28%, signal=25%	APOH/PLA2G7/MMEL1/HPN/BAG2/CASP6/GRIN2A/CLN3/ASRGL1/TYSND1/ACE/CTSL/PIDD1/C2CD3/MYRF/PCSK9/SIRT4/TMEM98/F11/CLN5/DISP1/PGK1/PMPCB/LGMN/SRC/CPE/APH1A/PLGRKT/DPP4/PMPCA/F12/ATP23/SERPINE1/CASP8/BAK1/CASP9/ASPRV1/PITRM1/GGT1/CTSH/RPS6KA2/CTSE/HTRA2/KEL/BAD/OMA1/ZMPSTE24/SDE2/P2RX7/ATP6AP2/INPP5B/XPNPEP3/SERPINF2/ASPH/SHH/HM13/MDM2/XIAP/PARP1/MIPEP/P4HB/CASP7/ENO1/CTSS/STOML2/AEBP1
GO:0039530	GO:0039530	MDA-5 signaling pathway	10	0.458208103295023	1.29227719483768	0.168769716088328	0.52409408784168	0.466152626799708	2974	tags=40%, list=19%, signal=32%	OAS3/IRF7/IFIH1/TKFC
GO:0009595	GO:0009595	detection of biotic stimulus	27	0.342807999684684	1.27947347019887	0.169590643274854	0.525768555756316	0.467641973149929	2216	tags=30%, list=14%, signal=25%	LY96/TLR1/CLEC7A/SCARB1/CRTAM/SMO/HLA-DRB1/DACH1
GO:1905906	GO:1905906	regulation of amyloid fibril formation	13	-0.371617536721019	-1.2766676369288	0.169540229885057	0.525768555756316	0.467641973149929	1548	tags=31%, list=10%, signal=28%	IAPP/CHRNA7/LDLR/CRYAB
GO:0002526	GO:0002526	acute inflammatory response	79	0.265837976569458	1.24642140326775	0.169426751592357	0.525768555756316	0.467641973149929	2849	tags=32%, list=19%, signal=26%	HP/CCR7/IGHG1/BTK/ELANE/F8/OSM/FUT7/HFE/DNASE1/ADORA1/FCGR2B/CD163/APOL2/RHBDD3/TNFSF11/TFR2/SERPINA3/F12/FCER1A/SIGIRR/ACVR1/SERPINA1/A2M/FCGR3A
GO:0045936	GO:0045936	negative regulation of phosphate metabolic process	287	0.206473495653133	1.16573595023963	0.169690501600854	0.525787005236956	0.467658382939818	4969	tags=37%, list=32%, signal=25%	PIP5KL1/CDA/SPINK1/RGS14/HEXIM2/AIDA/DTNBP1/CDKN2A/SFRP2/PPARG/TRIB3/PPP1R1B/PLEK/CEP85/CEACAM1/ABL1/AGT/MICAL1/TARBP2/PTPRC/CDK5RAP3/ARRB2/SMPD1/PPP1R14D/PTPN6/HGF/MASTL/MGAT5/SRCIN1/DEPTOR/PPP2R5D/MVP/PLK1/PKIB/DVL1/PPP1R8/PPP2R5A/SOCS5/TSC2/PTPRQ/CALM3/BAK1/IKBKB/EPHB2/PTPN22/NF2/RGN/NTF3/SPRY1/DUSP22/ENG/ENSA/SPRY4/NCK2/PID1/SMCR8/PRDX3/BOD1/VPS25/PRKN/CDKN1B/TFAP4/SLC27A1/PDPK1/CTDSP1/PKIG/KIRREL2/LATS1/HYAL2/HEXIM1/TMED2/CHMP6/MEN1/SPAG9/NF1/APC/ALDOB/TAF7/CDKN2C/FOXA2/PARP1/CIB1/CTDSP2/INPP5F/SERPINB3/PLPP3/GSKIP/INPP5K/PPP2R1A/AKT1S1/PTPRB/NR2F2/MAPK8IP1/CEBPA/SEMA4D/TARDBP/IBTK/TSG101/ANKLE2/CALM1/GCKR/PTK6/NNT/FKBP1A/FLCN/ZNF675
GO:0006720	GO:0006720	isoprenoid metabolic process	95	0.252479923867205	1.2179060452709	0.169811320754717	0.525870345633662	0.467732509600935	4393	tags=37%, list=29%, signal=26%	CRABP2/SRD5A3/HMGCS2/BCO1/ADH5/SRD5A1/LRAT/PMVK/RDH14/ALG3/MVK/SCPEP1/CYP4V2/DHRS4/DHRS7/ADH1C/ABCA4/ALG10B/ALG8/DPM3/DGAT1/DGAT2/HTRA2/PHYH/GGPS1/HSD17B6/MPDU1/LIPA/ALG13/NAPEPLD/ALG6/LRP8/LRP1/RFT1/ALG1
GO:0042789	GO:0042789	mRNA transcription by RNA polymerase II	35	0.316645549723226	1.25511440598249	0.169971671388102	0.526075946988382	0.467915380604062	5720	tags=51%, list=37%, signal=32%	VDR/PPARG/TAF12/RXRB/TFCP2/TAF6/FLNA/TAF11/ZBTB1/TAF7/SREBF1/C5AR1/MED1/HLTF/NR1H2/RARA/NCBP3/TAF9
GO:0050654	GO:0050654	chondroitin sulfate proteoglycan metabolic process	24	-0.303617716951282	-1.27544470623871	0.170278637770898	0.526153472891422	0.467984335595514	751	tags=21%, list=5%, signal=20%	CHST11/CHSY1/CSGALNACT1/CHST7/CYTL1
GO:0048799	GO:0048799	animal organ maturation	24	-0.302152888298903	-1.26929121832969	0.170278637770898	0.526153472891422	0.467984335595514	823	tags=17%, list=5%, signal=16%	ADAMTS7/IGF1/BMP2/ALDH1A2
GO:0050995	GO:0050995	negative regulation of lipid catabolic process	24	-0.30172896850552	-1.26751040572834	0.170278637770898	0.526153472891422	0.467984335595514	2445	tags=33%, list=16%, signal=28%	ALK/CIDEC/CIDEA/PIK3CG/HCAR2/ETFBKMT/ADRA2A/HCAR1
GO:0051923	GO:0051923	sulfation	15	0.398388697241551	1.27676203894622	0.170658682634731	0.526391425808531	0.468195981519287	2035	tags=33%, list=13%, signal=29%	TPST2/SULT1A2/HS3ST5/SULT1A1/EXT2
GO:0061484	GO:0061484	hematopoietic stem cell homeostasis	19	0.372214836246305	1.26119638302604	0.170694864048338	0.526391425808531	0.468195981519287	3893	tags=37%, list=25%, signal=28%	ADGRG1/ARMCX1/CRISPLD1/MYCT1/OCIAD1/BAP1/FSTL1
GO:0007020	GO:0007020	microtubule nucleation	36	0.315316611704196	1.24888086465117	0.170731707317073	0.526391425808531	0.468195981519287	4239	tags=36%, list=28%, signal=26%	TUBG1/HAUS4/MZT1/TUBGCP4/TUBGCP3/TUBG2/ARHGEF7/HAUS8/CKAP5/TUBGCP5/NEDD1/HAUS2/HSPA1A
GO:0007498	GO:0007498	mesoderm development	97	0.25179858362248	1.22011736038841	0.170639899623588	0.526391425808531	0.468195981519287	3357	tags=29%, list=22%, signal=23%	HCK/MESP2/BTK/MIXL1/SFRP2/OSR1/PALB2/MESP1/GDF11/MEST/TWSG1/SMO/TBX6/EXT2/IKZF3/ETV2/ACVR1/SECTM1/WNT3/NF2/TEAD2/AXIN1/ACVR2A/NUP133/SNAI1/TBX19/ITGA3/CTDNEP1
GO:0003306	GO:0003306	Wnt signaling pathway involved in heart development	10	-0.418798780072167	-1.30312540583876	0.171195652173913	0.52651455603292	0.46830549902553	3816	tags=50%, list=25%, signal=38%	CTNNB1/SOX17/ALPK2/DKK1/BMP2
GO:0070741	GO:0070741	response to interleukin-6	25	-0.298412610092895	-1.26585863014222	0.170886075949367	0.52651455603292	0.46830549902553	709	tags=16%, list=5%, signal=15%	C1QTNF4/CAMP/FER/IL6
GO:0032418	GO:0032418	lysosome localization	70	0.274358250382717	1.25032775849036	0.171241830065359	0.52651455603292	0.46830549902553	3749	tags=34%, list=24%, signal=26%	KIT/RAB3A/BTK/GAB2/BORCS6/FES/SNAPIN/TMEM106B/ADORA2B/VAMP7/RAC2/KXD1/BORCS8/FCER1A/LGALS9/RNF167/LAMTOR1/PLA2G3/PDPK1/SNX4/RASGRP1/SNAP23/STXBP2/SPAG9
GO:1990849	GO:1990849	vacuolar localization	70	0.274358250382717	1.25032775849036	0.171241830065359	0.52651455603292	0.46830549902553	3749	tags=34%, list=24%, signal=26%	KIT/RAB3A/BTK/GAB2/BORCS6/FES/SNAPIN/TMEM106B/ADORA2B/VAMP7/RAC2/KXD1/BORCS8/FCER1A/LGALS9/RNF167/LAMTOR1/PLA2G3/PDPK1/SNX4/RASGRP1/SNAP23/STXBP2/SPAG9
GO:0090303	GO:0090303	positive regulation of wound healing	47	-0.246506114676717	-1.23204249761455	0.171102661596958	0.52651455603292	0.46830549902553	1820	tags=26%, list=12%, signal=23%	FOXC2/F7/DUOX1/HBEGF/PLG/THBD/USF1/F3/ADRA2A/CPB2/DDR2/MYLK
GO:0009247	GO:0009247	glycolipid biosynthetic process	58	0.280834737140279	1.23574928519251	0.171390013495277	0.526680947069184	0.468453494624851	4153	tags=43%, list=27%, signal=32%	PIGS/PIGV/PIGH/PIGQ/GPAA1/FA2H/ST3GAL2/PIGM/DPM3/LARGE1/B3GALT4/GAL3ST1/ST3GAL6/SCCPDH/ST3GAL3/PIGW/MPPE1/PIGK/ST6GALNAC4/TM9SF2/B4GALT3/PGAP2/PIGC/PIGB/PIGT
GO:0002822	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	155	0.229624643032802	1.20717675018457	0.171590909090909	0.527009051014811	0.468745324889044	3884	tags=32%, list=25%, signal=24%	RIPK3/HAVCR2/JAK3/BTK/FUT7/C4BPA/HFE/CD1A/CEACAM1/RSAD2/KLRC1/MSH2/PTPRC/SLAMF1/FCGR2B/CLEC7A/KMT5C/PTPN6/IL27RA/CR1/GATA3/IL7R/IL12RB1/HLA-DRB1/ADA/SOCS5/CD1C/CD1E/IL23A/SHLD1/SASH3/WAS/HLA-DRA/EPHB2/DENND1B/DUSP22/CARD9/HLA-C/MR1/P2RX7/TNFSF13B/IL4I1/STAT6/ZBTB1/ZBTB7B/HLA-A/MAP3K7/PAXIP1/TAP2
GO:0033700	GO:0033700	phospholipid efflux	10	0.454761242793649	1.28255606771731	0.17192429022082	0.527743476396037	0.469398555537108	1071	tags=30%, list=7%, signal=28%	ABCA1/SPNS1/ABCA12
GO:0090382	GO:0090382	phagosome maturation	26	0.344355645518837	1.27839018662037	0.172262773722628	0.528492750724928	0.47006499350065	1122	tags=19%, list=7%, signal=18%	RAB20/TMEM175/CLN3/VIPAS39/RAB38
GO:0042130	GO:0042130	negative regulation of T cell proliferation	58	-0.228796545733497	-1.2211347426466	0.172413793103448	0.528666389696718	0.470219435736677	1515	tags=21%, list=10%, signal=19%	LGALS9C/LRRC32/ARG2/MAD1L1/SDC4/IL2RA/LGALS9B/TSPAN32/TMEM131L/HLA-G/SCGB1A1/XCL1
GO:0035641	GO:0035641	locomotory exploration behavior	12	-0.385906775929159	-1.27859057971111	0.173410404624277	0.530850112351738	0.47216173593707	5213	tags=67%, list=34%, signal=44%	GAD1/NLGN2/PRKCE/SLC4A10/CRH/DLG4/ATP1A2/TNR
GO:0090075	GO:0090075	relaxation of muscle	24	-0.298772034680634	-1.25508884603967	0.173374613003096	0.530850112351738	0.47216173593707	3429	tags=42%, list=22%, signal=32%	PLN/HRC/TIFAB/ATP2A1/ACTN3/TNNI2/GSTM2/ATP1A2/P2RY1/KCNJ2
