p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AP001412.1	0.259784512286729	1.01550967640158	0.008	0	1
FRGCA	0.259784512286729	1.16614433013954	0.008	0	1
AATBC	0.259784512286729	0.286744100743971	0.008	0	1
RPS6KA6	0.260093456221066	1.07716120478797	0.038	0.019	1
TAB2	0.260098791849737	1.16525615443033	0.145	0.194	1
MARCH9	0.260105380878249	1.59584002287683	0.093	0.135	1
FTSJ3	0.260136863386678	1.83433309383102	0.164	0.135	1
AL121761.2	0.260145018933467	-0.500371636681878	0.016	0.032	1
ZNF569	0.260145018933467	-1.91723984843826	0.016	0.032	1
RAD17	0.260194755562189	1.19046208975976	0.131	0.103	1
MRPL51	0.260375016693827	0.277959201193646	0.522	0.529	1
EIF2B5	0.260395142727161	1.51114443206524	0.216	0.194	1
PCNX3	0.260497242038208	0.298361068015628	0.066	0.097	1
TIPIN	0.260549999132697	1.67229242308762	0.068	0.045	1
AC007114.1	0.260708415402719	0.704506646765532	0.063	0.039	1
AL392046.2	0.260751092859467	1.21837780104369	0.046	0.026	1
NT5C3A	0.26075655165938	0.500251821540798	0.191	0.161	1
PCBD2	0.260774257419465	0.378585125777552	0.112	0.084	1
AFMID	0.260786415112047	2.11309501332602	0.137	0.11	1
SNUPN	0.261011445571195	1.40209462877329	0.145	0.116	1
DUSP28	0.261509360905953	0.714125809206949	0.077	0.052	1
ITGA10	0.261848095732613	2.25590775180794	0.038	0.019	1
KATNAL1	0.261848095732613	0.886912810934447	0.038	0.019	1
L3HYPDH	0.261848095732613	-0.577930179258184	0.038	0.019	1
MFNG	0.261848095732613	0.567275040538404	0.038	0.019	1
RAPH1	0.261857388906826	1.41230941316695	0.23	0.206	1
GNMT	0.262052066445015	-0.393714025699454	0.055	0.032	1
BIN2	0.262052066445015	2.05201091828026	0.055	0.032	1
SLC23A2	0.262124902387805	1.31502214959405	0.06	0.09	1
ILVBL	0.262229254174357	0.7741645736095	0.227	0.213	1
INTS6-AS1	0.262338359891077	1.2682972249768	0.046	0.026	1
SKIV2L	0.26238180988018	1.26273681900339	0.161	0.135	1
VHL	0.262530538626497	1.67039561985453	0.085	0.058	1
LAMC2	0.262624514547408	-0.471015182532091	0.109	0.148	1
BMPR1A	0.262646976840287	0.525428001203023	0.107	0.148	1
HSPA2	0.26275133532313	0.823206003994805	0.063	0.039	1
VANGL2	0.262903556836959	0.724565481463479	0.071	0.045	1
NAT14	0.262903556836959	0.725509574192213	0.071	0.045	1
MRPL22	0.262941401396728	0.365404149231144	0.314	0.303	1
ZDHHC15	0.26313449102985	1.04645114560152	0.046	0.026	1
MPZL2	0.26325626067592	0.299156775159239	0.462	0.574	1
PYGL	0.263358986347638	0.660146371104081	0.06	0.09	1
FAM71E1	0.263358986347638	1.81116169418816	0.077	0.052	1
NAGLU	0.263442264345114	0.70029142830386	0.098	0.071	1
C9orf64	0.263847825718133	1.09366625457048	0.112	0.084	1
ENTPD5	0.263899867585698	1.76202230381507	0.117	0.09	1
TULP4	0.263917051973503	0.906330693287772	0.197	0.168	1
PDE4B	0.263932288195986	2.1742160455188	0.046	0.026	1
STPG1	0.264119406946926	0.965234430396904	0.063	0.039	1
AP1S2	0.26444247585393	-0.302316564086997	0.087	0.058	1
C17orf107	0.26449779980556	1.45270276373545	0.016	0.032	1
VAMP5	0.264866889295853	-0.361619002235252	0.314	0.374	1
TMCO3	0.264992218717828	1.31405302776833	0.246	0.219	1
MBLAC1	0.265381870739449	1.38136166420142	0.038	0.019	1
LINC01431	0.265381870739449	1.72338013331043	0.038	0.019	1
LRRC69	0.265532883385521	1.63402021585998	0.046	0.026	1
RBM26-AS1	0.265532883385521	1.9559176673981	0.046	0.026	1
ANKRD36B	0.26577090413127	2.64941407981308	0.068	0.045	1
MHENCR	0.266131426273438	0.647424906301779	0.071	0.045	1
SMAD4	0.266190845215924	0.886381882738185	0.156	0.213	1
LRRC61	0.266251126269858	1.21983302643803	0.104	0.077	1
AC004982.1	0.26627042334765	-0.900115002583434	0.038	0.019	1
FBXL5	0.266369400047073	0.312824881733385	0.333	0.316	1
PYCR3	0.266461717234655	1.08517579676553	0.077	0.052	1
GNA13	0.267498478802199	1.93105839013004	0.123	0.097	1
ANAPC4	0.267709824620704	2.08031125786303	0.077	0.052	1
BTG3	0.267817923865268	0.351293271178975	0.549	0.555	1
ESS2	0.267832504668533	1.88504062771355	0.131	0.103	1
NDUFB3	0.267880963434481	0.67238493987449	0.495	0.542	1
ZFYVE16	0.268011423698043	0.812933790254601	0.115	0.155	1
CCDC88C	0.268011423698043	2.17516454227673	0.134	0.11	1
ACVR2A	0.268215555804521	1.54762059220681	0.09	0.065	1
DLST	0.268222022654444	0.4440033739539	0.172	0.142	1
C2orf68	0.268521479656915	0.687389000698884	0.156	0.129	1
SENP8	0.268754096047605	0.829336414949074	0.046	0.026	1
ZDHHC7	0.268871303463448	1.09688959659291	0.21	0.181	1
GALNS	0.269563574330175	0.790651069875976	0.046	0.026	1
GPR35	0.269598039446211	-2.36791861779509	0.008	0.019	1
CSNK2A2	0.269649398481897	0.523143797242216	0.126	0.174	1
RIPOR1	0.270040744018262	0.877832040008968	0.055	0.084	1
IPCEF1	0.270213578130693	1.75192813946257	0.036	0.058	1
CSF1	0.270238269274354	0.437420636263356	0.139	0.187	1
NRM	0.27037472392391	1.61485930782778	0.046	0.026	1
MAIP1	0.270387057543117	1.50107971448848	0.169	0.142	1
PPIL2	0.270566552962177	0.323774550235959	0.096	0.135	1
PPFIA3	0.270928063499746	-0.252757674347136	0.055	0.032	1
PARP9	0.270958090541416	0.868390838785163	0.224	0.194	1
OTUD1	0.270992854360395	0.305460929753907	0.063	0.09	1
NRTN	0.271095118407817	-1.76911258791597	0.008	0.019	1
POLR2B	0.271242249474498	0.837540775301439	0.251	0.239	1
CHAMP1	0.271323784593629	1.94991878771626	0.109	0.084	1
CHIC2	0.272126514657655	0.51173881125472	0.145	0.194	1
DOCK1	0.272247460560163	1.62605025892226	0.158	0.129	1
XRRA1	0.273149442161633	0.957368236909748	0.096	0.135	1
GPRIN2	0.273375993169036	1.48134170867876	0.077	0.052	1
PGGT1B	0.273466947962364	0.447872735990434	0.175	0.148	1
POLG	0.273490292865461	-0.620751830422343	0.104	0.142	1
TCF19	0.273863480772792	-1.21877060430644	0.022	0.039	1
HIST2H2AB	0.274106338222409	-1.25942954691413	0.008	0.019	1
AC024060.1	0.274106338222409	-1.34667156079289	0.008	0.019	1
KLHL6	0.274106338222409	-1.70316543211934	0.008	0.019	1
MRPS24	0.274106338222409	-1.63256866496084	0.008	0.019	1
GPT	0.274106338222409	0.569040031376892	0.008	0.019	1
RNASEK	0.274309076099124	0.635744545244198	0.041	0.065	1
AC026979.2	0.274515935037909	1.0245731482231	0.115	0.084	1
MTMR3	0.274936547999261	0.274779822161514	0.128	0.181	1
ELK1	0.274999530013488	0.4788964217959	0.077	0.11	1
RNF38	0.275145425165731	0.840947263136192	0.107	0.148	1
RETREG3	0.275154389831214	1.62783161439206	0.197	0.174	1
DUSP4	0.275165839172445	-0.431054159695964	0.131	0.174	1
CTC1	0.275442458324314	0.885267115599983	0.055	0.032	1
PRKAA2	0.275470706349456	0.453909125758936	0.104	0.148	1
FBXO41	0.275620486350414	-1.32191058819308	0.008	0.019	1
AC012640.1	0.275620486350414	-3.63661447584247	0.008	0.019	1
AC132192.1	0.275620486350414	-1.01689713717701	0.008	0.019	1
ZNF426-DT	0.275620486350414	-1.22604019979563	0.008	0.019	1
SIGLEC14	0.275620486350414	-1.78043800444881	0.008	0.019	1
MROH1	0.275758786652467	0.502482790728807	0.101	0.142	1
BAHD1	0.275783676797637	1.3782595111933	0.09	0.065	1
TRIM32	0.275809133249749	1.17471797757419	0.036	0.058	1
AC006480.2	0.275820961541994	1.36355499247457	0.041	0.065	1
SHMT1	0.275825833646608	0.539137049740973	0.191	0.168	1
ELP2	0.275908614037628	0.967859704107769	0.158	0.213	1
PEX10	0.275928017733439	1.75846716779778	0.137	0.11	1
MRPL15	0.276041997928761	0.583391509121202	0.27	0.245	1
CPSF2	0.27611896456652	-0.953214881783603	0.117	0.161	1
BTF3L4	0.27633255743215	0.643411359699446	0.377	0.387	1
IFI27L1	0.27648838456723	1.68430189407343	0.153	0.129	1
MRPS18C	0.276736810415574	0.250644469399285	0.216	0.284	1
TADA2B	0.276818953238803	-0.545775258414218	0.071	0.103	1
SNTA1	0.277103239892986	-0.631532839714647	0.068	0.045	1
PLGLB1	0.277140331272864	-0.930021527197987	0.008	0.019	1
ZKSCAN7	0.277140331272864	-1.30435527963565	0.008	0.019	1
AC079174.2	0.277140331272864	0.265907179439798	0.008	0.019	1
CDKN3	0.277140331272864	-2.12204877881728	0.008	0.019	1
AC004687.1	0.277140331272864	-0.654650594846763	0.008	0.019	1
NDRG3	0.277377649082093	1.52510305407171	0.137	0.11	1
EEF2K	0.277850996002976	1.00466255392475	0.164	0.142	1
EIF2A	0.277879617067578	0.34642211309031	0.404	0.394	1
HDDC2	0.278011724314825	0.517936927202437	0.355	0.368	1
PEX5	0.278480961212951	1.77232192109983	0.077	0.052	1
HENMT1	0.278604664397652	1.50665854952322	0.019	0.006	1
GREB1	0.278604664397652	2.07611151605609	0.019	0.006	1
ARHGAP25	0.278604664397652	0.638937523573976	0.019	0.006	1
SLC4A3	0.278604664397652	1.15578292126791	0.019	0.006	1
SPINK2	0.278604664397652	0.832468002688366	0.019	0.006	1
PTCD2	0.278604664397652	1.08855276218336	0.019	0.006	1
PDE1C	0.278604664397652	1.86357610006522	0.019	0.006	1
CD72	0.278604664397652	2.3408513374791	0.019	0.006	1
AP001160.2	0.278604664397652	1.40494167993837	0.019	0.006	1
ANXA8L1	0.278604664397652	1.78827785257493	0.019	0.006	1
CDAN1	0.278604664397652	2.91339198880758	0.019	0.006	1
AC010531.6	0.278604664397652	2.38540685475694	0.019	0.006	1
SMG8	0.278604664397652	1.22606881915339	0.019	0.006	1
PRR29	0.278604664397652	1.16498520409874	0.019	0.006	1
LINC01597	0.278604664397652	1.84183425211493	0.019	0.006	1
PALM	0.278604664397652	1.89063975325864	0.019	0.006	1
LRFN1	0.278604664397652	0.944326558945368	0.019	0.006	1
CD79A	0.278604664397652	2.91783931710979	0.019	0.006	1
ZNF577	0.278604664397652	2.03107237963071	0.019	0.006	1
LINC02560	0.278604664397652	3.22829082246582	0.019	0.006	1
OSM	0.278604664397652	2.92878760572902	0.019	0.006	1
AC240274.1	0.278604664397652	2.90682582495337	0.019	0.006	1
AC012485.3	0.278665876322333	-1.03857240297697	0.008	0.019	1
AC128688.2	0.278665876322333	-1.71387631203972	0.008	0.019	1
AL031775.1	0.278665876322333	-0.917533507877394	0.008	0.019	1
HIST1H1D	0.278665876322333	-0.572028672518681	0.008	0.019	1
AC104389.4	0.278665876322333	-1.00129217003763	0.008	0.019	1
GOLGA6L4	0.278665876322333	0.515451884284844	0.008	0.019	1
ZRANB1	0.279250457625119	0.684953878169946	0.12	0.168	1
IFNAR2	0.279633819410103	1.01115469122143	0.142	0.194	1
TRERF1	0.279844627513385	-2.13346434543159	0.027	0.045	1
S1PR1	0.279932797827442	3.82387127268379	0.019	0.006	1
COL3A1	0.279932797827442	3.03868353314038	0.019	0.006	1
AC064836.3	0.279932797827442	1.74504239734414	0.019	0.006	1
AC096772.1	0.279932797827442	1.49176020504678	0.019	0.006	1
AC109347.1	0.279932797827442	1.70639271297231	0.019	0.006	1
AMACR	0.279932797827442	1.19318568419185	0.019	0.006	1
MUCL3	0.279932797827442	1.20839949540112	0.019	0.006	1
IRF5	0.279932797827442	0.897434452818887	0.019	0.006	1
MAOB	0.279932797827442	1.76733453707794	0.019	0.006	1
AL161457.2	0.279932797827442	0.941584428413178	0.019	0.006	1
RERG	0.279932797827442	0.907541371897466	0.019	0.006	1
DENND1C	0.279932797827442	2.47220847674377	0.019	0.006	1
AC096536.1	0.280197124708375	-0.634763561296015	0.008	0.019	1
LINC01186	0.280197124708375	-0.838182807477415	0.008	0.019	1
AC087473.1	0.280197124708375	-0.493865333358662	0.008	0.019	1
CCDC33	0.280197124708375	-0.840382556100085	0.008	0.019	1
C16orf46	0.280197124708375	2.10365935319977	0.008	0.019	1
CFAP52	0.280197124708375	-0.986508429319424	0.008	0.019	1
ZNF461	0.280197124708375	1.72101334133754	0.008	0.019	1
RTN2	0.280488673262716	-1.12156195643629	0.098	0.071	1
PLXNA2	0.280501794133425	0.337139309132595	0.145	0.194	1
OSMR-AS1	0.280513857769337	2.10726982555613	0.06	0.039	1
IRF2BP1	0.280622080844956	-0.305975459497588	0.12	0.09	1
BAIAP2	0.280674451021684	0.398732843811184	0.336	0.329	1
PSMA3	0.280879707140253	0.392887535201175	0.475	0.458	1
UBE2Q2	0.28091277344071	0.376326460014255	0.107	0.148	1
MFSD14B	0.280987240591587	0.390965993651774	0.123	0.168	1
EPB41L4A-DT	0.28126522721695	1.83762624071061	0.019	0.006	1
GPLD1	0.28126522721695	0.9752253916242	0.019	0.006	1
GDPD5	0.28126522721695	0.863881758807358	0.019	0.006	1
ZNF791	0.281268553974544	0.615650172437066	0.175	0.148	1
LDLRAD4	0.281611720315812	0.778513778837017	0.071	0.103	1
RHOF	0.281663246583307	1.24928194709681	0.101	0.071	1
PIGB	0.281703539437241	1.25004415951898	0.09	0.065	1
CYB561D2.1	0.281734079516949	-0.697715245862073	0.008	0.019	1
SUCLG2-AS1	0.281734079516949	1.26940930437066	0.008	0.019	1
CDC20B	0.281734079516949	-0.483260539166271	0.008	0.019	1
CCDC192	0.281734079516949	-0.80668140238011	0.008	0.019	1
AP001528.1	0.281734079516949	-0.631155948397989	0.008	0.019	1
NDUFA9	0.282300998292704	0.628814904546901	0.232	0.31	1
LIN9	0.282601954520468	2.33439124046644	0.019	0.006	1
NUAK1	0.282614931280862	-1.25026225911491	0.038	0.019	1
AGAP1	0.282843960964	-0.983459275610104	0.09	0.123	1
CFAP157	0.282931989283775	-1.46534500985672	0.022	0.039	1
ZNF548	0.282931989283775	0.948501083048591	0.022	0.039	1
GOLT1B	0.283013171461993	0.947846486220786	0.164	0.135	1
HOOK3	0.283045862534005	0.318863317973026	0.232	0.316	1
DNAJC10	0.283225699537413	0.888739823543476	0.246	0.226	1
CRYBG2	0.283276743709848	-0.691113129288449	0.008	0.019	1
WDR63	0.283276743709848	0.412364624361099	0.008	0.019	1
EFHC2	0.283276743709848	-0.264989860530711	0.008	0.019	1
FGD1	0.283276743709848	-0.577034625637342	0.008	0.019	1
FDXACB1	0.283276743709848	1.35839824639257	0.008	0.019	1
TEKT3	0.283276743709848	-0.551232672435882	0.008	0.019	1
ZNF568	0.283276743709848	-0.497685558243766	0.008	0.019	1
ACAT1	0.283421420859121	-0.256727542248121	0.224	0.187	1
AC020915.3	0.283428180362964	2.25396334205572	0.06	0.039	1
ABCB10	0.283630382707338	1.12237557188827	0.082	0.058	1
PIAS4	0.283671028538434	1.50971475536135	0.109	0.084	1
GJB4	0.283942981621679	0.676722528338625	0.019	0.006	1
FAM239A	0.283942981621679	0.977617567235178	0.019	0.006	1
MAMDC2-AS1	0.283942981621679	2.2922708458791	0.019	0.006	1
CRTAM	0.283942981621679	1.95417281750114	0.019	0.006	1
AL359220.1	0.283952019661615	-0.271554775499982	0.022	0.039	1
SETD4	0.284434487637303	0.922556929028295	0.112	0.084	1
PIK3C3	0.284516987461894	0.536825981525377	0.101	0.142	1
ST3GAL6	0.284695568440405	1.65365911164484	0.09	0.065	1
ACTR1B	0.284802445788739	0.4597161307813	0.232	0.213	1
PPARA	0.284952867845483	0.798374771104621	0.077	0.052	1
DNAH6	0.284974536783951	-1.35364904249152	0.022	0.039	1
HECTD1	0.284995481512121	1.01502436237023	0.301	0.297	1
VEPH1	0.285034602834112	1.06226200596739	0.161	0.129	1
MED7	0.285120256477415	0.369619506836752	0.126	0.097	1
IFNGR1	0.285164577139103	1.05332376350327	0.426	0.439	1
NUMA1	0.285235020046529	1.109904648852	0.216	0.29	1
FAM71A	0.28528831033338	1.80634600336994	0.019	0.006	1
OSR1	0.28528831033338	2.30095118853595	0.019	0.006	1
SLC15A1	0.28528831033338	0.409450867979809	0.019	0.006	1
ZNF799	0.28528831033338	0.986606544792869	0.019	0.006	1
AC012360.3	0.28540376582553	-1.6871524455386	0.038	0.019	1
SPA17	0.285514168909985	1.68427227973898	0.066	0.097	1
PRDM1	0.285566260136641	-0.705130398117417	0.063	0.09	1
PAGR1	0.285627267947394	1.5622887632068	0.06	0.039	1
SLC17A5	0.28569030783331	1.14890273568779	0.137	0.11	1
TTC39C	0.285781622366576	0.802529248607465	0.096	0.135	1
HELQ	0.28598825630471	1.5072152209112	0.068	0.045	1
ZBTB6	0.285999541419852	-1.39678824460259	0.022	0.039	1
WDHD1	0.285999541419852	-0.349537769871104	0.022	0.039	1
PHOSPHO2	0.2861439238262	1.65406774581095	0.082	0.058	1
LTBP4	0.286253204946917	0.783187261817873	0.169	0.142	1
TSPYL1	0.286364131578725	0.779363104796267	0.385	0.387	1
FAM104B	0.286552763140312	0.835163795002146	0.175	0.148	1
IQCC	0.286637942397208	0.369971159022046	0.019	0.006	1
CXCR3	0.286637942397208	0.401160268019565	0.019	0.006	1
ZNF696	0.286637942397208	0.418529137766	0.019	0.006	1
CAPNS2	0.286637942397208	0.321871717839363	0.019	0.006	1
GPR87	0.287027034314531	-0.57138731060769	0.022	0.039	1
AREL1	0.287099829091373	1.90625772119501	0.06	0.039	1
TRAF7	0.287176994263262	1.3683780170427	0.23	0.213	1
ZFP14	0.287837994379663	1.5851535005821	0.06	0.039	1
PJVK	0.287991879483359	-0.525654637487373	0.019	0.006	1
SKIDA1	0.287991879483359	-0.358711133026779	0.019	0.006	1
KNDC1	0.287991879483359	-0.604012700514976	0.019	0.006	1
LAMA1	0.287991879483359	-1.70034555510545	0.019	0.006	1
SLCO2A1	0.288057016189282	-1.33854635435801	0.022	0.039	1
CGAS	0.288057016189282	-1.40989668542882	0.022	0.039	1
AC061992.1	0.288057016189282	-1.03067933629617	0.022	0.039	1
YWHAZ	0.288149833811967	0.27795518011511	0.612	0.606	1
NCK1	0.288246295695518	0.332163632517463	0.172	0.232	1
CREBL2	0.288493979723192	1.38004822182058	0.202	0.187	1
DVL2	0.288528880635002	1.77734266181153	0.096	0.071	1
ADCY9	0.288579321101558	0.545616213531439	0.112	0.155	1
STIP1	0.288618129154147	1.42898247225272	0.292	0.29	1
PTGR2	0.289156285483196	1.89778351706244	0.109	0.084	1
ING5	0.289743046102019	0.543722505185698	0.128	0.174	1
UBR2	0.289888320216624	2.14786780697298	0.158	0.135	1
COG8	0.29015326509992	1.51663559008458	0.068	0.045	1
OSBPL9	0.290445937829347	0.919590602408223	0.358	0.368	1
FHL1	0.290803449308543	0.818132824019564	0.046	0.071	1
TSR1	0.291153192121512	0.960924786494386	0.131	0.103	1
PCGF2	0.291178743241737	1.55231378463079	0.15	0.123	1
ZBTB4	0.291314293827321	0.369247448913874	0.186	0.239	1
TMEM167A	0.291460899220046	1.12958524062987	0.358	0.368	1
ZC3H8	0.29168255111346	0.840238628836776	0.104	0.077	1
GTF2H3	0.291713621486868	0.510242998572839	0.098	0.135	1
ZNF140	0.291925536333695	1.56368874610198	0.109	0.084	1
IPPK	0.291983197219484	-1.00854715991483	0.027	0.045	1
RARB	0.292201847073736	-0.509162036326117	0.022	0.039	1
ZBTB37	0.292252999370277	1.03295773320873	0.104	0.077	1
LINC01184	0.292328557733404	0.898125633822549	0.191	0.168	1
CDKN1B	0.292702114203614	1.5124972305394	0.197	0.174	1
ISY1	0.293046111539263	0.945431983813382	0.169	0.142	1
DDX50	0.293531428332885	1.5069578029043	0.186	0.161	1
AL591895.1	0.293554461745111	2.52601364017605	0.074	0.052	1
ZNF720	0.293556737869527	1.02448342919169	0.145	0.116	1
MAPKAPK3	0.293593971409219	0.699231807343609	0.104	0.142	1
ALG14	0.294047598154516	1.06094540993998	0.145	0.116	1
ARAP3	0.294289213380176	-2.37561602627343	0.022	0.039	1
RCOR3	0.294409874204606	2.05904915478844	0.189	0.168	1
DZIP3	0.29445933692824	1.10739735482228	0.071	0.103	1
PTPN3	0.294482796120573	0.569534974113545	0.142	0.187	1
NNT-AS1	0.29468071783751	0.337067262754489	0.117	0.09	1
PER3	0.294712551763752	0.53558523648313	0.109	0.084	1
AL355816.2	0.294833908158332	-1.26603363238658	0.027	0.045	1
CEP170B	0.295258782501382	-1.1944042662453	0.107	0.142	1
OMA1	0.295503187889249	1.50104518963553	0.158	0.135	1
CES4A	0.296042287190064	0.883608378395327	0.046	0.071	1
PMP22	0.296068264688544	0.334578083805574	0.175	0.213	1
TFCP2	0.29623637373278	1.82982184400555	0.096	0.071	1
GATM	0.296348500973487	0.907881071440599	0.082	0.058	1
EFCAB11	0.296386553076291	2.07164876328479	0.022	0.039	1
NFS1	0.296395276686051	1.28821575952348	0.12	0.097	1
TBC1D13	0.296476977179021	1.06153507125169	0.068	0.045	1
SLC35E2A	0.296771069580083	-0.268659123769478	0.052	0.077	1
IKZF3	0.297438964248752	1.76980227963552	0.022	0.039	1
GLS	0.297472150643854	0.606634827696932	0.287	0.258	1
DNAH11	0.297527818087778	-0.252725660970665	0.077	0.052	1
FASTKD3	0.297550628931373	1.33456448956109	0.046	0.071	1
AC245041.2	0.297703208997244	-0.537246475742736	0.027	0.045	1
DOCK5	0.298100848835601	-0.579570378011927	0.139	0.181	1
LSP1	0.298170479808142	0.641680309017144	0.148	0.116	1
MANEA	0.298264057760533	2.54150082890779	0.052	0.032	1
KDM2A	0.298307728101848	0.932916718939052	0.183	0.239	1
SLC25A29	0.298444643295474	0.625089163173245	0.265	0.252	1
NHSL2	0.29866377547436	-2.04589552115687	0.027	0.045	1
VSIG2	0.298843162007733	0.608709054358253	0.268	0.342	1
ZFAND4	0.299078905266362	2.20291520478549	0.052	0.032	1
RCC1L	0.299394774724793	0.762055157315948	0.131	0.103	1
SCYL2	0.299548740762155	0.459781839084651	0.169	0.226	1
MORN1	0.299626408961278	-0.644364040973808	0.027	0.045	1
TCTN2	0.299626408961278	-0.931099952474526	0.027	0.045	1
SLC16A7	0.299626800427282	1.64311261488493	0.164	0.135	1
TECPR1	0.299822756150933	1.83759693210581	0.06	0.039	1
CADPS2	0.300097220335191	-0.448328345393351	0.145	0.194	1
AP1B1	0.30010610771493	1.18954297196212	0.191	0.161	1
VARS	0.300106130330779	1.52094146938571	0.189	0.168	1
DPYSL3	0.300237222870497	2.08618647089023	0.082	0.058	1
NEO1	0.300510145766193	0.872428211134229	0.104	0.142	1
ELP6	0.300550541208286	2.15591321538686	0.126	0.103	1
SCARF1	0.300582696436171	0.498082592618981	0.06	0.039	1
CAND1	0.30080248553693	0.355072370170012	0.224	0.29	1
KDM1A	0.300890096823089	0.547745801899306	0.139	0.187	1
TMEM67	0.301033673290243	1.89406309392897	0.074	0.052	1
NUDT3	0.301040050555489	0.304093291439326	0.164	0.135	1
LST1	0.30110493055628	1.28539043108311	0.052	0.077	1
RIN3	0.301343919245877	0.967749395319314	0.06	0.039	1
ATP6V1A	0.301605023036265	0.569150162072895	0.161	0.213	1
PPARG	0.302191730300997	2.79553890769711	0.044	0.026	1
OTUD6B	0.302353140153705	2.33046714450231	0.052	0.032	1
TRIM52	0.302472383977908	-1.3910706603758	0.09	0.065	1
PDZD8	0.302785117354297	1.12289486101516	0.175	0.155	1
MARVELD3	0.30279643905489	1.35179113211053	0.142	0.116	1
AC124283.1	0.302892236658217	0.877904231364397	0.068	0.045	1
WDR25	0.303095296985032	1.93996359491604	0.074	0.052	1
ASAP3	0.303239410555829	1.94101284795176	0.087	0.065	1
SPECC1	0.303287590987854	0.56071235908691	0.052	0.077	1
BID	0.303587266157508	-0.713054891186683	0.117	0.155	1
JAML	0.303635284201203	0.937525173314017	0.06	0.039	1
FAM234B	0.303987515455025	2.42068189232828	0.044	0.026	1
PTRH1	0.304311396467196	0.701702445606916	0.167	0.142	1
FBXO30	0.304470592188492	-1.70660087242524	0.027	0.045	1
SEC14L2	0.304470592188492	-0.257483742008104	0.027	0.045	1
MYL5	0.304816872816473	1.26356679317216	0.082	0.058	1
P3H3	0.304824408303153	-0.751521411895716	0.052	0.032	1
ANKS1A	0.304968016133456	1.51423585549705	0.082	0.116	1
MMADHC	0.30522168199124	0.276342831532195	0.358	0.368	1
RPRM	0.305242548676254	1.58480597101891	0.027	0.013	1
CPLX1	0.305242548676254	1.41008887469918	0.027	0.013	1
AC010226.1	0.305242548676254	1.67696586392839	0.027	0.013	1
PCOLCE	0.305242548676254	1.39817341278625	0.027	0.013	1
IL23A	0.305242548676254	1.78196675662149	0.027	0.013	1
CLCN5	0.305790374818677	2.57890193281976	0.044	0.026	1
PHYH	0.306043177534224	1.54528262103286	0.169	0.148	1
NFIC	0.306168428900701	0.55230285590908	0.478	0.465	1
PSPC1	0.306184773912807	0.977020961143927	0.202	0.181	1
RPL39L	0.30620462210247	0.599071978954201	0.131	0.103	1
GNAI3	0.306295685421393	1.10559073833628	0.262	0.355	1
ICK	0.306387831495377	0.909760913301158	0.134	0.11	1
LRP8	0.306399640224958	1.23200940725578	0.027	0.013	1
SNX24	0.306612224793773	1.83052101841833	0.109	0.084	1
MAP3K21	0.307479820974567	-0.943327957631656	0.06	0.039	1
C8orf37	0.307559634737807	1.25718238572847	0.027	0.013	1
SEC22C	0.307585694842209	0.266315140293685	0.098	0.135	1
LPL	0.307684387002548	1.94563176641529	0.052	0.077	1
MED23	0.308262187891537	0.753732289386547	0.115	0.09	1
ARNT	0.308373114499275	-0.584620337752863	0.123	0.161	1
LINC01579	0.308507930991743	2.75803037816833	0.044	0.026	1
ZNF782	0.308722532518521	1.30358592209319	0.027	0.013	1
DNA2	0.308722532518521	1.30638718401799	0.027	0.013	1
AC015908.2	0.308722532518521	1.57901890198305	0.027	0.013	1
ZSWIM1	0.308722532518521	1.43318652938067	0.027	0.013	1
LAMA5	0.309054641967109	1.05568282866021	0.131	0.174	1
C5orf30	0.309151338464943	3.39424887309329	0.036	0.019	1
PSMC3IP	0.309151338464943	2.65967998569199	0.036	0.019	1
MFSD2A	0.309271258455866	1.13859537618803	0.224	0.2	1
LEPROTL1	0.309412616306735	0.812485201652995	0.26	0.239	1
DHX35	0.309417321531276	2.44095681164647	0.044	0.026	1
COX20	0.309744133635857	1.2464096203369	0.372	0.381	1
RNF34	0.309792386924347	1.33117231555011	0.153	0.129	1
COPS9	0.31000514180551	0.538804232331217	0.511	0.535	1
MOB3B	0.310035022600717	1.7333100428798	0.074	0.052	1
KLHL21	0.310199159207707	-1.99161963934538	0.044	0.065	1
ALKBH7	0.310231785096781	0.537842847120267	0.426	0.445	1
HDHD5	0.310286596420801	1.12987263467948	0.153	0.129	1
CYTH2	0.310303889631092	0.706044645039479	0.314	0.31	1
SESN2	0.310321985870419	2.39424458663651	0.079	0.058	1
HGH1	0.310328481516905	-2.97767093639311	0.033	0.052	1
EXO5	0.310328481516905	2.81882380388102	0.044	0.026	1
FAM149B1	0.310328481516905	1.70813733274815	0.044	0.026	1
SMC6	0.310478383136964	1.26096412383742	0.087	0.123	1
NUDT15	0.310505126628787	1.28464958937936	0.12	0.161	1
BLMH	0.310584583480491	-0.587072902625747	0.137	0.11	1
C11orf80	0.310638906824596	0.270169737728025	0.052	0.077	1
ABHD13	0.310742302572038	1.09088586168666	0.169	0.148	1
DCAF15	0.310812224773995	1.10912905507388	0.123	0.097	1
UBTF	0.310844765702728	1.10752797725737	0.208	0.187	1
MFAP3	0.311057038927679	2.02967352984993	0.027	0.013	1
HIST1H3H	0.311057038927679	1.14039824795602	0.027	0.013	1
QPRT	0.311057038927679	2.47132756074588	0.027	0.013	1
NPAS1	0.311057038927679	1.19883953390572	0.027	0.013	1
